signature,stem,mean_accuracy,stem_short
How important are Friends in your life?|||Very important || Rather important || Not very important || Not at all important,How important are Friends in your life?,0.0,How important are Friends in your life?
How important is Family in your life?|||Very important || Rather important || Not very important || Not at all important,How important is Family in your life?,0.0,How important is Family in your life?
How important is Leisure time in your life?|||Very important || Rather important || Not very important || Not at all important,How important is Leisure time in your life?,0.0,How important is Leisure time in your life?
How important is Politics in your life?|||Very important || Rather important || Not very important || Not at all important,How important is Politics in your life?,0.0,How important is Politics in your life?
How important is Religion in your life?|||Very important || Rather important || Not very important || Not at all important,How important is Religion in your life?,0.0,How important is Religion in your life?
How important is Work in your life?|||Very important || Rather important || Not very important || Not at all important,How important is Work in your life?,0.0,How important is Work in your life?
"Is 'Determination, perseverance' among the top five qualities?|||Mentioned || Not mentioned","Is 'Determination, perseverance' among the top five qualities?",0.29,"Is 'Determination, perseverance' among the top five qualities?"
Would you not like to have Homosexuals as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have Homosexuals as neighbours?,0.30864197530864196,Would you not like to have Homosexuals as neighbours?
Would you not like to have Unmarried couples living together as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have Unmarried couples living together as neighbours?,0.3655913978494624,Would you not like to have Unmarried couples living together as neighbours?
Would you not like to have People who have AIDS as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have People who have AIDS as neighbours?,0.37777777777777777,Would you not like to have People who have AIDS as neighbours?
Would you not like to have Immigrants/foreign workers as neighbours?|||Would not like as neighbours || Would like as neighbours,Would you not like to have Immigrants/foreign workers as neighbours?,0.5217391304347826,Would you not like to have Immigrants/foreign workers as neighbours?
Is 'Tolerance and respect for other people' among the top five qualities?|||Mentioned || Not mentioned,Is 'Tolerance and respect for other people' among the top five qualities?,0.58,Is 'Tolerance and respect for other people' among the top five qualities?
Is 'Independence' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Independence' among the top five qualities children should learn at home?,0.61,Is 'Independence' among the top five qualities children should learn at home?
Is 'Feeling of responsibility' among the top five qualities children should learn at home?|||Mentioned || Not mentioned,Is 'Feeling of responsibility' among the top five qualities children should learn at home?,0.66,Is 'Feeling of responsibility' among the top five qualities children should learn at home?
"Is 'Thrift, saving money and things' among the top five qualities?|||Mentioned || Not mentioned","Is 'Thrift, saving money and things' among the top five qualities?",0.68,"Is 'Thrift, saving money and things' among the top five qualities?"
